Date,Draw,Winning_Numbers
2025-03-21,EVENING,'830
2025-03-21,MIDDAY,'972
2025-03-20,NIGHT,'820
2025-03-20,EVENING,'738
2025-03-20,MIDDAY,'292
2025-03-19,NIGHT,'702
2025-03-19,EVENING,'639
2025-03-19,MIDDAY,'568
2025-03-18,NIGHT,'286
2025-03-18,EVENING,'098
2025-03-18,MIDDAY,'079
2025-03-17,NIGHT,'091
2025-03-17,EVENING,'358
2025-03-17,MIDDAY,'476
2025-03-16,NIGHT,'991
2025-03-16,EVENING,'295
2025-03-16,MIDDAY,'695
2025-03-15,NIGHT,'520
2025-03-15,EVENING,'674
2025-03-15,MIDDAY,'149
2025-03-14,NIGHT,'163
2025-03-14,EVENING,'708
2025-03-14,MIDDAY,'980
2025-03-13,NIGHT,'080
2025-03-13,EVENING,'048
2025-03-13,MIDDAY,'515
2025-03-12,NIGHT,'545
2025-03-12,EVENING,'968
2025-03-12,MIDDAY,'505
2025-03-11,NIGHT,'895
2025-03-11,EVENING,'618
2025-03-11,MIDDAY,'602
2025-03-10,NIGHT,'563
2025-03-10,EVENING,'003
2025-03-10,MIDDAY,'915
2025-03-09,NIGHT,'724
2025-03-09,EVENING,'062
2025-03-09,MIDDAY,'032
2025-03-08,NIGHT,'773
2025-03-08,EVENING,'088
2025-03-08,MIDDAY,'772
2025-03-07,NIGHT,'584
2025-03-07,EVENING,'803
2025-03-07,MIDDAY,'009
2025-03-06,NIGHT,'447
2025-03-06,EVENING,'236
2025-03-06,MIDDAY,'904
2025-03-05,NIGHT,'369
2025-03-05,EVENING,'545
2025-03-05,MIDDAY,'209
2025-03-04,NIGHT,'487
2025-03-04,EVENING,'379
2025-03-04,MIDDAY,'406
2025-03-03,NIGHT,'379
2025-03-03,EVENING,'960
2025-03-03,MIDDAY,'110
2025-03-02,NIGHT,'534
2025-03-02,EVENING,'386
2025-03-02,MIDDAY,'245
2025-03-01,NIGHT,'583
2025-03-01,EVENING,'939
2025-03-01,MIDDAY,'835
2025-04-29,NIGHT,'780
2025-04-29,EVENING,'001
2025-04-29,MIDDAY,'414
2025-04-28,NIGHT,'141
2025-04-28,EVENING,'332
2025-04-28,MIDDAY,'845
2025-04-27,NIGHT,'269
2025-04-27,EVENING,'014
2025-04-27,MIDDAY,'913
2025-04-26,NIGHT,'630
2025-04-26,EVENING,'983
2025-04-26,MIDDAY,'974
2025-04-25,NIGHT,'413
2025-04-25,EVENING,'300
2025-04-25,MIDDAY,'847
2025-04-24,NIGHT,'082
2025-04-24,EVENING,'267
2025-04-24,MIDDAY,'933
2025-04-23,NIGHT,'742
2025-04-23,EVENING,'501
2025-04-23,MIDDAY,'729
2025-04-22,NIGHT,'455
2025-04-22,EVENING,'288
2025-04-22,MIDDAY,'785
2025-04-21,NIGHT,'397
2025-04-21,EVENING,'294
2025-04-21,MIDDAY,'339
2025-04-20,NIGHT,'000
2025-04-20,EVENING,'537
2025-04-20,MIDDAY,'000
2025-04-19,NIGHT,'167
2025-04-19,EVENING,'613
2025-04-19,MIDDAY,'747
2025-04-18,NIGHT,'311
2025-04-18,EVENING,'153
2025-04-18,MIDDAY,'349
2025-04-17,NIGHT,'922
2025-04-17,EVENING,'084
2025-04-17,MIDDAY,'274
2025-04-16,NIGHT,'614
2025-04-16,EVENING,'435
2025-04-16,MIDDAY,'684
2025-04-15,NIGHT,'542
2025-04-15,EVENING,'131
