Date,Draw,Winning_Numbers
06/30/2025,NIGHT,145
06/30/2025,EVENING,902
06/30/2025,MIDDAY,004
06/29/2025,NIGHT,764
06/29/2025,EVENING,867
06/29/2025,MIDDAY,338
06/28/2025,NIGHT,703
06/28/2025,EVENING,816
06/28/2025,MIDDAY,273
06/27/2025,NIGHT,288
06/27/2025,EVENING,865
06/27/2025,MIDDAY,979
06/26/2025,NIGHT,597
06/26/2025,EVENING,952
06/26/2025,MIDDAY,527
06/25/2025,NIGHT,432
06/25/2025,EVENING,508
06/25/2025,MIDDAY,681
06/24/2025,NIGHT,828
06/24/2025,EVENING,716
06/24/2025,MIDDAY,008
06/23/2025,NIGHT,769
06/23/2025,EVENING,707
06/23/2025,MIDDAY,558
06/22/2025,NIGHT,015
06/22/2025,EVENING,564
06/22/2025,MIDDAY,541
06/21/2025,NIGHT,310
06/21/2025,EVENING,428
06/21/2025,MIDDAY,279
06/20/2025,NIGHT,124
06/20/2025,EVENING,025
06/20/2025,MIDDAY,021
06/19/2025,NIGHT,419
06/19/2025,EVENING,316
06/19/2025,MIDDAY,855
06/18/2025,NIGHT,940
06/18/2025,EVENING,788
06/18/2025,MIDDAY,214
06/17/2025,NIGHT,703
06/17/2025,EVENING,947
06/17/2025,MIDDAY,343
06/16/2025,NIGHT,556
06/16/2025,EVENING,550
06/16/2025,MIDDAY,116
06/15/2025,NIGHT,083
06/15/2025,EVENING,464
06/15/2025,MIDDAY,767
06/14/2025,NIGHT,240
06/14/2025,EVENING,824
06/14/2025,MIDDAY,101
06/13/2025,NIGHT,610
06/13/2025,EVENING,734
06/13/2025,MIDDAY,950
06/12/2025,NIGHT,148
06/12/2025,EVENING,693
06/12/2025,MIDDAY,290
06/11/2025,NIGHT,533
06/11/2025,EVENING,740
06/11/2025,MIDDAY,906
06/10/2025,NIGHT,841
06/10/2025,EVENING,233
06/10/2025,MIDDAY,230
06/09/2025,NIGHT,018
06/09/2025,EVENING,638
06/09/2025,MIDDAY,383
06/08/2025,NIGHT,124
06/08/2025,EVENING,004
06/08/2025,MIDDAY,837
06/07/2025,NIGHT,732
06/07/2025,EVENING,358
06/07/2025,MIDDAY,787
06/06/2025,NIGHT,893
06/06/2025,EVENING,891
06/06/2025,MIDDAY,444
06/05/2025,NIGHT,138
06/05/2025,EVENING,346
06/05/2025,MIDDAY,048
06/04/2025,NIGHT,110
06/04/2025,EVENING,084
06/04/2025,MIDDAY,537
06/03/2025,NIGHT,292
06/03/2025,EVENING,979
06/03/2025,MIDDAY,272
06/02/2025,NIGHT,740
06/02/2025,EVENING,583
06/02/2025,MIDDAY,607
06/01/2025,NIGHT,380
06/01/2025,EVENING,996
06/01/2025,MIDDAY,021
